Movie title,Url,Position,Duration,Genre,Rating,RatingCount
Capharnaüm,https://www.imdb.com/title/tt8267604/,,PT2H6M,Drama,8.4,118577
Once Upon a Time in America,https://www.imdb.com/title/tt0087843/,,PT3H49M,"Crime, Drama",8.3,399289
Singin&apos; in the Rain,https://www.imdb.com/title/tt0045152/,,PT1H43M,"Comedy, Musical, Romance",8.3,275538
Idi i smotri,https://www.imdb.com/title/tt0091251/,,PT2H22M,"Drama, Thriller, War",8.3,115456
Requiem for a Dream,https://www.imdb.com/title/tt0180093/,,PT1H42M,Drama,8.3,949087
Star Wars: Episode VI - Return of the Jedi,https://www.imdb.com/title/tt0086190/,,PT2H11M,"Action, Adventure, Fantasy",8.3,1179048
Toy Story 3,https://www.imdb.com/title/tt0435761/,,PT1H43M,"Animation, Adventure, Comedy",8.3,942829
Jagten,https://www.imdb.com/title/tt2106476/,,PT1H55M,Drama,8.3,394259
Ikiru,https://www.imdb.com/title/tt0044741/,,PT2H23M,Drama,8.3,98520
Eternal Sunshine of the Spotless Mind,https://www.imdb.com/title/tt0338013/,,PT1H48M,"Drama, Romance, Sci-Fi",8.3,1150217
Incendies,https://www.imdb.com/title/tt1255953/,,PT2H11M,"Drama, Mystery, War",8.3,234925
The Apartment,https://www.imdb.com/title/tt0053604/,,PT2H5M,"Comedy, Drama, Romance",8.3,211723
Lawrence of Arabia,https://www.imdb.com/title/tt0056172/,,PT3H47M,"Adventure, Biography, Drama",8.3,332812
2001: A Space Odyssey,https://www.imdb.com/title/tt0062622/,,PT2H29M,"Adventure, Sci-Fi",8.3,762111
Reservoir Dogs,https://www.imdb.com/title/tt0105236/,,PT1H39M,"Crime, Thriller",8.3,1143999
Scarface,https://www.imdb.com/title/tt0086250/,,PT2H50M,"Crime, Drama",8.3,981439
Heat,https://www.imdb.com/title/tt0113277/,,PT2H50M,"Action, Crime, Drama",8.3,771033
Double Indemnity,https://www.imdb.com/title/tt0036775/,,PT1H47M,"Crime, Drama, Film-Noir",8.3,176616
North by Northwest,https://www.imdb.com/title/tt0053125/,,PT2H16M,"Adventure, Drama, Mystery",8.3,363375
Up,https://www.imdb.com/title/tt1049413/,,PT1H36M,"Animation, Adventure, Comedy",8.3,1198267
M - Eine Stadt sucht einen Mörder,https://www.imdb.com/title/tt0022100/,,PT1H57M,"Crime, Mystery, Thriller",8.3,178885
Citizen Kane,https://www.imdb.com/title/tt0033467/,,PT1H59M,"Drama, Mystery",8.2,485492
Full Metal Jacket,https://www.imdb.com/title/tt0093058/,,PT1H56M,"Drama, War",8.2,831050
Vertigo,https://www.imdb.com/title/tt0052357/,,PT2H8M,"Mystery, Romance, Thriller",8.2,449871
Le fabuleux destin d&apos;Amélie Poulain,https://www.imdb.com/title/tt0211915/,,PT2H2M,"Comedy, Romance",8.3,824531
Taare Zameen Par,https://www.imdb.com/title/tt0986264/,,PT2H42M,"Drama, Family",8.3,223457
Jodaeiye Nader az Simin,https://www.imdb.com/title/tt1832382/,,PT2H3M,Drama,8.3,272159
To Kill a Mockingbird,https://www.imdb.com/title/tt0056592/,,PT2H9M,"Crime, Drama",8.3,345862
Die Hard,https://www.imdb.com/title/tt0095016/,,PT2H12M,"Action, Thriller",8.2,999326
Indiana Jones and the Last Crusade,https://www.imdb.com/title/tt0097576/,,PT2H7M,"Action, Adventure",8.2,846420
The Sting,https://www.imdb.com/title/tt0070735/,,PT2H9M,"Comedy, Crime, Drama",8.2,292891
A Clockwork Orange,https://www.imdb.com/title/tt0066921/,,PT2H16M,"Crime, Sci-Fi",8.2,919145
Metropolis,https://www.imdb.com/title/tt0017136/,,PT2H33M,"Drama, Sci-Fi",8.3,196460
Oppenheimer,https://www.imdb.com/title/tt15398776/,,PT3H,"Biography, Drama, History",8.3,930428
Snatch,https://www.imdb.com/title/tt0208092/,,PT1H44M,"Comedy, Crime",8.2,954936
1917,https://www.imdb.com/title/tt8579674/,,PT1H59M,"Action, Drama, War",8.2,741018
L.A. Confidential,https://www.imdb.com/title/tt0119488/,,PT2H18M,"Crime, Drama, Mystery",8.2,646722
Ladri di biciclette,https://www.imdb.com/title/tt0040522/,,PT1H29M,Drama,8.2,187863
Der Untergang,https://www.imdb.com/title/tt0363163/,,PT2H36M,"Biography, Drama, History",8.2,392257
Hababam Sinifi: Sinifta Kaldi,https://www.imdb.com/title/tt0252488/,,PT1H35M,Comedy,8.6,27950
Dangal,https://www.imdb.com/title/tt5074352/,,PT2H41M,"Action, Biography, Drama",8.3,231066
The Wolf of Wall Street,https://www.imdb.com/title/tt0993846/,,PT3H,"Biography, Comedy, Crime",8.2,1714077
Green Book,https://www.imdb.com/title/tt6966692/,,PT2H10M,"Biography, Comedy, Drama",8.2,650598
Hamilton,https://www.imdb.com/title/tt8503618/,,PT2H40M,"Biography, Drama, History",8.3,131481
The Truman Show,https://www.imdb.com/title/tt0120382/,,PT1H43M,"Comedy, Drama",8.2,1309806
Taxi Driver,https://www.imdb.com/title/tt0075314/,,PT1H54M,"Crime, Drama",8.2,993078
Batman Begins,https://www.imdb.com/title/tt0372784/,,PT2H20M,"Action, Crime, Drama",8.2,1666624
Per qualche dollaro in più,https://www.imdb.com/title/tt0059578/,,PT2H12M,"Drama, Western",8.2,292586
Judgment at Nuremberg,https://www.imdb.com/title/tt0055031/,,PT2H59M,"Drama, History, War",8.3,93294
Shutter Island,https://www.imdb.com/title/tt1130884/,,PT2H18M,"Drama, Mystery, Thriller",8.2,1575181
Some Like It Hot,https://www.imdb.com/title/tt0053291/,,PT2H1M,"Comedy, Music, Romance",8.2,298329
Jurassic Park,https://www.imdb.com/title/tt0107290/,,PT2H7M,"Action, Adventure, Sci-Fi",8.2,1141179
The Kid,https://www.imdb.com/title/tt0012349/,,PT1H8M,"Comedy, Drama, Family",8.2,142749
The Father,https://www.imdb.com/title/tt10272386/,,PT1H37M,"Drama, Mystery",8.2,218239
All About Eve,https://www.imdb.com/title/tt0042192/,,PT2H18M,Drama,8.2,146278
There Will Be Blood,https://www.imdb.com/title/tt0469494/,,PT2H38M,Drama,8.2,680641
The Sixth Sense,https://www.imdb.com/title/tt0167404/,,PT1H47M,"Drama, Mystery, Thriller",8.2,1111717
Ran,https://www.imdb.com/title/tt0089881/,,PT2H40M,"Action, Drama, War",8.2,146403
Casino,https://www.imdb.com/title/tt0112641/,,PT2H58M,"Crime, Drama",8.2,600405
Top Gun: Maverick,https://www.imdb.com/title/tt1745960/,,PT2H10M,"Action, Drama",8.2,799599
No Country for Old Men,https://www.imdb.com/title/tt0477348/,,PT2H2M,"Crime, Drama, Thriller",8.2,1142883
The Thing,https://www.imdb.com/title/tt0084787/,,PT1H49M,"Horror, Mystery, Sci-Fi",8.2,506218
Unforgiven,https://www.imdb.com/title/tt0105695/,,PT2H10M,"Drama, Western",8.2,458880
El laberinto del fauno,https://www.imdb.com/title/tt0457430/,,PT1H58M,"Drama, Fantasy, War",8.2,730808
Kill Bill: Vol. 1,https://www.imdb.com/title/tt0266697/,,PT1H51M,"Action, Crime, Thriller",8.2,1265209
A Beautiful Mind,https://www.imdb.com/title/tt0268978/,,PT2H15M,"Biography, Drama, Mystery",8.2,1031297
Prisoners,https://www.imdb.com/title/tt1392214/,,PT2H33M,"Crime, Drama, Mystery",8.2,890116
The Treasure of the Sierra Madre,https://www.imdb.com/title/tt0040897/,,PT2H6M,"Adventure, Drama, Western",8.2,138741
Yôjinbô,https://www.imdb.com/title/tt0055630/,,PT1H50M,"Action, Drama, Thriller",8.2,139591
Finding Nemo,https://www.imdb.com/title/tt0266543/,,PT1H40M,"Animation, Adventure, Comedy",8.2,1174033
Hauru no ugoku shiro,https://www.imdb.com/title/tt0347149/,,PT1H59M,"Animation, Adventure, Family",8.2,492118
La meglio gioventù,https://www.imdb.com/title/tt0346336/,,PT6H14M,"Drama, Romance",8.4,26037
The Great Escape,https://www.imdb.com/title/tt0057115/,,PT2H52M,"Adventure, Drama, Thriller",8.2,271533
Monty Python and the Holy Grail,https://www.imdb.com/title/tt0071853/,,PT1H31M,"Adventure, Comedy, Fantasy",8.2,592928
The Elephant Man,https://www.imdb.com/title/tt0080678/,,PT2H4M,"Biography, Drama",8.2,275811
Klaus,https://www.imdb.com/title/tt4729430/,,PT1H36M,"Animation, Adventure, Comedy",8.2,218933
Dial M for Murder,https://www.imdb.com/title/tt0046912/,,PT1H45M,"Crime, Drama, Mystery",8.2,200083
Gone with the Wind,https://www.imdb.com/title/tt0031381/,,PT3H58M,"Drama, Romance, War",8.2,349712
El secreto de sus ojos,https://www.imdb.com/title/tt1305806/,,PT2H9M,"Drama, Mystery, Romance",8.2,235949
Chinatown,https://www.imdb.com/title/tt0071315/,,PT2H10M,"Drama, Mystery, Thriller",8.1,368914
"Lock, Stock and Two Smoking Barrels",https://www.imdb.com/title/tt0120735/,,PT1H47M,"Comedy, Crime",8.1,639643
V for Vendetta,https://www.imdb.com/title/tt0434409/,,PT2H12M,"Action, Drama, Sci-Fi",8.1,1224380
Rashômon,https://www.imdb.com/title/tt0042876/,,PT1H28M,"Crime, Drama, Mystery",8.1,191776
Inside Out,https://www.imdb.com/title/tt2096673/,,PT1H35M,"Animation, Adventure, Comedy",8.1,881679
"Three Billboards Outside Ebbing, Missouri",https://www.imdb.com/title/tt5027774/,,PT1H55M,"Comedy, Crime, Drama",8.1,589892
Catch Me If You Can,https://www.imdb.com/title/tt0264464/,,PT2H21M,"Biography, Crime, Drama",8.1,1184631
Trainspotting,https://www.imdb.com/title/tt0117951/,,PT1H33M,"Crime, Drama",8.1,755596
The Bridge on the River Kwai,https://www.imdb.com/title/tt0050212/,,PT2H41M,"Adventure, Drama, War",8.1,244359
Raging Bull,https://www.imdb.com/title/tt0081398/,,PT2H9M,"Biography, Drama, Sport",8.1,399822
Harry Potter and the Deathly Hallows: Part 2,https://www.imdb.com/title/tt1201607/,,PT2H10M,"Adventure, Family, Fantasy",8.1,1011263
